Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Congo_Belge_Zaire,Gandajika,-6.73,23.94,0,1,203,278
Tyto alba,Congo_Belge_Zaire,GangaloNoBodis,-6.15,23.6,0,1,193,292
Tyto alba,Congo_Belge_Zaire,Kabinda,-6.15,24.49,0,2,198,287
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.08,0,2,188,285
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.0805,0,2,181,275
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.081,0,NA,180,297
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.0815,0,NA,192,290
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.082,0,NA,198,287
Tyto alba,Congo_Belge_Zaire,Kansenia,-10.32,26.0825,0,NA,182,293
Tyto alba,Congo_Belge_Zaire,Kasagna,-10.32,26.083,0,1,198,288
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.27,0,2,187,292
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.2705,0,1,199,296
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.271,0,2,204,288
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.2715,0,1,201,286
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.272,0,2,208,293
Tyto alba,Congo_Belge_Zaire,Kasai,-5.54,22.2725,0,2,189,296
Tyto alba,Congo_Belge_Zaire,Katanga,-11.08,27.06,0,1,198,290
Tyto alba,Congo_Belge_Zaire,Kiambi,-7.32,28.01,0,2,194,290
Tyto alba,Congo_Belge_Zaire,Kili,-6.82,14.07,0,NA,192,272
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3305,0,1,192,286
Tyto alba,Congo_Belge_Zaire,Kivu,-2.05,28.901,0,NA,205,297
Tyto alba,Congo_Belge_Zaire,Kivu,-2.05,28.9015,0,2,183,282
Tyto alba,Congo_Belge_Zaire,Kivu,-2.05,28.902,0,2,194,284
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.331,0,2,182,287
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3315,0,1,191,292
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.332,0,1,196,281
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3325,0,NA,187,292
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.333,0,NA,194,300
Tyto alba,Congo_Belge_Zaire,Kinshasa,-4.39,15.3335,0,NA,187,275
